node_id,date,discharge_avg,year,week
67.65088_23.93122,2022-12-18,1984.8392,2022,50
67.65088_23.93122,2022-12-25,1803.3917,2022,51
67.65088_23.93122,2023-01-01,1704.5123,2023,52
67.65088_23.93122,2023-01-08,1617.4297,2023,1
67.65088_23.93122,2023-01-15,1563.0647,2023,2
67.65088_23.93122,2023-01-22,1528.1139,2023,3
67.65088_23.93122,2023-01-29,1528.1027,2023,4
67.65088_23.93122,2023-02-05,1595.6853,2023,5
67.65088_23.93122,2023-02-12,1578.9688,2023,6
67.65088_23.93122,2023-02-19,1550.8861,2023,7
67.65088_23.93122,2023-02-26,1425.125,2023,8
67.65088_23.93122,2023-03-05,1484.1875,2023,9
67.65088_23.93122,2023-03-12,1444.5267,2023,10
67.65088_23.93122,2023-03-19,1527.8705,2023,11
67.65088_23.93122,2023-03-26,1496.7142,2023,12
67.65088_23.93122,2023-04-02,1711.8348,2023,13
67.65088_23.93122,2023-04-09,2119.1965,2023,14
67.65088_23.93122,2023-04-16,2273.375,2023,15
67.65088_23.93122,2023-04-23,2308.1653,2023,16
67.65088_23.93122,2023-04-30,2023.1072,2023,17
67.65088_23.93122,2023-05-07,2651.1206,2023,18
67.65088_23.93122,2023-05-14,2876.4778,2023,19
67.65088_23.93122,2023-05-21,2851.1072,2023,20
67.65088_23.93122,2023-05-28,2550.0981,2023,21
67.65088_23.93122,2023-06-04,1429.6384,2023,22
67.65088_23.93122,2023-06-11,475.05804,2023,23
67.65088_23.93122,2023-06-18,475.61832,2023,24
67.65088_23.93122,2023-06-25,981.55804,2023,25
67.65088_23.93122,2023-07-02,1552.7858,2023,26
67.65088_23.93122,2023-07-09,7919.0825,2023,27
67.65088_23.93122,2023-07-16,13324.904,2023,28
67.65088_23.93122,2023-07-23,12367.337,2023,29
67.65088_23.93122,2023-07-30,14789.036,2023,30
67.65088_23.93122,2023-08-06,15897.201,2023,31
